"Count","Train","CV"
1000,0.983,0.6929
2000,0.877,0.7011
3000,0.835666666666667,0.7052
4000,0.8095,0.7188
5000,0.851,0.7405
6000,0.827,0.7359
7000,0.820142857142857,0.7392
8000,0.785375,0.7259
9000,0.774333333333333,0.7277
10000,0.8133,0.7476
11000,0.804181818181818,0.745
12000,0.80075,0.7442
13000,0.763230769230769,0.7219
14000,0.794571428571429,0.7556
15000,0.796466666666667,0.7511
16000,0.78925,0.7497
17000,0.791529411764706,0.7508
18000,0.780111111111111,0.7388
19000,0.779157894736842,0.7442
20000,0.7681,0.7385
21000,0.791809523809524,0.766
22000,0.776954545454545,0.7513
23000,0.777913043478261,0.7488
24000,0.778208333333333,0.7583
25000,0.77668,0.7505
26000,0.771192307692308,0.7394
27000,0.768222222222222,0.7422
28000,0.778214285714286,0.7512
29000,0.765586206896552,0.7413
30000,0.7692,0.7441
31000,0.766193548387097,0.7429
32000,0.77671875,0.7518
33000,0.769333333333333,0.7441
34000,0.767764705882353,0.7498
35000,0.772428571428571,0.75
36000,0.762861111111111,0.7397
37000,0.773351351351351,0.7543
38000,0.769947368421053,0.751
39000,0.770871794871795,0.749
40000,0.7751,0.757
41000,0.777048780487805,0.7554
42000,0.762047619047619,0.7379
43000,0.76746511627907,0.7437
44000,0.778204545454545,0.7565
45000,0.764555555555556,0.7409
46000,0.770891304347826,0.7474
47000,0.762148936170213,0.7388
48000,0.762583333333333,0.7411
49000,0.771326530612245,0.7499
50000,0.7684,0.746
51000,0.77221568627451,0.7482
52000,0.767846153846154,0.7476
53000,0.769566037735849,0.7493
54000,0.765259259259259,0.7462
55000,0.760036363636364,0.7413
56000,0.772160714285714,0.7553
57000,0.770894736842105,0.754
58000,0.763224137931034,0.742
59000,0.763830508474576,0.7448
60000,0.766733333333333,0.7476
